delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,sound_1.started,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.7,1000.0,exp,0,0,0,8,28.46196709992364,29.449553000042215,29.449553000042215,29.465978299966082,space,0.30069629987701774,30.466356320097113,30.782039599958807,30.782039599958807,30.782039599958807,300,1,[5.331308400025591],[5.331316500203684],,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
0.7,1000.0,exp,0,1,1,11,36.099694000091404,37.099726299988106,37.099726299988106,37.099726299988106,space,0.5637522998731583,38.383118320046925,38.683078800095245,38.683078800095245,38.683078800095245,"150
",2,"[5.331308400025591, 5.636252099880949]","[5.331316500203684, 5.636258800048381]",,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
0.1,400.0,unexp,0,2,2,0,44.31673389999196,45.316843800013885,45.316843800013885,45.316843800013885,space,0.5675772000104189,46.00030902007129,46.301739100134,46.301739100134,46.301739100134,0,3,"[5.331308400025591, 5.636252099880949, 4.816584900021553]","[5.331316500203684, 5.636258800048381, 4.816592999966815]",,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
0.7,1000.0,exp,0,3,3,5,51.11692399997264,52.11716610006988,52.11716610006988,52.11716610006988,space,0.5621741998475045,53.40049341998529,53.700682000024244,53.700682000024244,53.700682000024244,"200
",4,"[5.331308400025591, 5.636252099880949, 4.816584900021553, 4.498150700004771]","[5.331316500203684, 5.636258800048381, 4.816592999966815, 4.49815719993785]",,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
0.4,1000.0,exp,0,4,4,10,58.200939800124615,59.20085639995523,59.20085639995523,59.20085639995523,space,0.3562811999581754,59.98465842010919,60.286035400116816,60.286035400116816,60.286035400116816,200,5,"[5.331308400025591, 5.636252099880949, 4.816584900021553, 4.498150700004771, 3.714333200128749]","[5.331316500203684, 5.636258800048381, 4.816592999966815, 4.49815719993785, 3.7143385000526905]",60.286035400116816,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
0.1,1000.0,exp,0,5,5,9,64.00099570001476,65.00116909993812,65.00116909993812,65.00116909993812,space,0.5246284997556359,65.65132322001736,65.95289049996063,65.95289049996063,65.95289049996063,0,6,"[5.331308400025591, 5.636252099880949, 4.816584900021553, 4.498150700004771, 3.714333200128749, 3.1334275000263005]","[5.331316500203684, 5.636258800048381, 4.816592999966815, 4.49815719993785, 3.7143385000526905, 3.1334343999624252]",,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
0.7,400.0,unexp,0,6,6,2,69.08438359992579,70.08456009998918,70.08456009998918,70.08456009998918,space,0.8761181998997927,71.684702419932,71.98595919995569,71.98595919995569,71.98595919995569,350,7,"[5.331308400025591, 5.636252099880949, 4.816584900021553, 4.498150700004771, 3.714333200128749, 3.1334275000263005, 5.547268700087443]","[5.331316500203684, 5.636258800048381, 4.816592999966815, 4.49815719993785, 3.7143385000526905, 3.1334343999624252, 5.547276700148359]",71.98595919995569,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
0.4,1000.0,exp,0,7,7,4,77.53476820001379,78.5346639000345,78.5346639000345,78.5346639000345,space,0.7091363000217825,79.66852002011146,79.99024920002557,79.99024920002557,79.99024920002557,100,8,"[5.331308400025591, 5.636252099880949, 4.816584900021553, 4.498150700004771, 3.714333200128749, 3.1334275000263005, 5.547268700087443, 3.634588399901986]","[5.331316500203684, 5.636258800048381, 4.816592999966815, 4.49815719993785, 3.7143385000526905, 3.1334343999624252, 5.547276700148359, 3.634594799950719]",,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
0.1,1000.0,exp,0,8,8,6,83.60173780005425,84.60166250006296,84.60166250006296,84.60166250006296,space,0.3787606998812407,85.10192352000158,85.4027585000731,85.4027585000731,85.4027585000731,0,9,"[5.331308400025591, 5.636252099880949, 4.816584900021553, 4.498150700004771, 3.714333200128749, 3.1334275000263005, 5.547268700087443, 3.634588399901986, 2.314312499947846]","[5.331316500203684, 5.636258800048381, 4.816592999966815, 4.49815719993785, 3.7143385000526905, 3.1334343999624252, 5.547276700148359, 3.634594799950719, 2.3143195000011474]",,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
0.4,1000.0,exp,0,9,9,7,87.71858350001276,88.71884680003859,88.71884680003859,88.71884680003859,space,0.3317547000478953,89.46876541993115,89.77942080004141,89.77942080004141,89.77942080004141,200,10,"[5.331308400025591, 5.636252099880949, 4.816584900021553, 4.498150700004771, 3.714333200128749, 3.1334275000263005, 5.547268700087443, 3.634588399901986, 2.314312499947846, 3.3819099999964237]","[5.331316500203684, 5.636258800048381, 4.816592999966815, 4.49815719993785, 3.7143385000526905, 3.1334343999624252, 5.547276700148359, 3.634594799950719, 2.3143195000011474, 3.3819162000436336]",89.77942080004141,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
0.1,1000.0,exp,0,10,10,3,93.15214650006965,94.15233210008591,94.15233210008591,94.15233210008591,space,0.5081797998864204,94.78616601999383,95.08879030006938,95.08879030006938,95.08879030006938,"100
",11,"[5.331308400025591, 5.636252099880949, 4.816584900021553, 4.498150700004771, 3.714333200128749, 3.1334275000263005, 5.547268700087443, 3.634588399901986, 2.314312499947846, 3.3819099999964237, 4.231005700072274]","[5.331316500203684, 5.636258800048381, 4.816592999966815, 4.49815719993785, 3.7143385000526905, 3.1334343999624252, 5.547276700148359, 3.634594799950719, 2.3143195000011474, 3.3819162000436336, 4.231013500131667]",95.08879030006938,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
0.4,400.0,unexp,0,11,11,1,99.319057200104,100.31941410014406,100.31941410014406,100.31941410014406,space,0.25922470004297793,101.00292772010434,101.30573430005461,101.30573430005461,101.30573430005461,100,12,"[5.331308400025591, 5.636252099880949, 4.816584900021553, 4.498150700004771, 3.714333200128749, 3.1334275000263005, 5.547268700087443, 3.634588399901986, 2.314312499947846, 3.3819099999964237, 4.231005700072274, 4.231807600008324]","[5.331316500203684, 5.636258800048381, 4.816592999966815, 4.49815719993785, 3.7143385000526905, 3.1334343999624252, 5.547276700148359, 3.634594799950719, 2.3143195000011474, 3.3819162000436336, 4.231013500131667, 4.231814600061625]",,sudhanshu,001,2022-11-09_18h23.50.514,tutorial 7,2022.2.2,59.93069614550428,
